ID,ADDRESS1,INSTITUTION,ADDRESS2,CITY,PROVINCE,ZIP,COUNTRY,LATITUDE,LONGITUDE
650000,KARTE CHAR RD STREET 2,INTERNATIONAL SCHOOL KABUL,PO BOX 5084,KABUL,,,AFGHANISTAN,34.5442395,69.1485731
704000,FSHATI MULLET,TIRANA INTERNATIONAL SCHOOL,KOMUNA PETRELE,TIRANE,,,ALBANIA,41.2721994,19.8660587
704002,RRUGA E REZERVAVE LUNDER,WORLD ACADEMY OF TIRANA,,TIRANA,,,ALBANIA,41.279778,19.862739
704079,LAGJA NR 1 RRUGA ANASTAS,ALBANIAN COLLEGE DURRES,DURRSAKU,DURRES,,2001,ALBANIA,41.310638,19.4449021
704003,"RRUGA KAVAJES, 21 DHJETORI    ",MEHMET AKIF COLLEGE,,TIRANE,,,ALBANIA,41.3266545,19.8037172
704073,RR GEORGE W BUSH NR 1,INKUS,,TIRANA,,,ALBANIA,41.3271129,19.823631
704001,RR MINE PEZA,HARRY FULTZ INSTITUTE,,TIRANA,,1001,ALBANIA,41.3351263,19.8093402
704072,AEP BOX 89 KP 119,GDQ INTRNTL CHRISTIAN SCHOOL,,TIRANA,,,ALBANIA,41.3419777,19.8009252
602001,ROUTE DE L HOPITAL LYCEE,TAREK BENZIAD SECONDARY SCHOOL,,TAREK BENZIAD,,,ALGERIA,35.9880082,2.1401751
600001,RUA DA COMITE DE ACCAO DO MPLA,COMPLEXO ESCOLAR PRIVADO INTL,KIFICA,LUANDA,,,ANGOLA,-8.9674251,13.1771243
600000,VIA S6 BAIRRO DE TALATONA,LUANDA INTERNATIONAL SCHOOL,MUNICIPIO DE BELAS,LUANDA,,,ANGOLA,-8.915069,13.1896328
890740,PO BOX 60,ALBENA LAKE HODGE CMPRHNSV SCH,,THE VALLEY,,AI 2640,ANGUILLA,18.2156295,-63.0503225
890069,PO BOX WI884,ISLAND ACADEMY,,ST JOHNS,,,ANTIGUA AND BARBUDA,17.0775819,-61.8147817
890600,ANTIGUA GRAMMAR SCHOOL,ANTIGUA GRAMMAR SCHOOL,,ST JOHNS,,,ANTIGUA AND BARBUDA,17.1226804,-61.8354365
900460,YANQUETRUZ Y PUELCHES,NORTHERN HILLS SCHOOL,BOSQUE PERALTA RAMOS,MAR DEL PLATA,,7600,ARGENTINA,-38.0869691,-57.5757228
950020,GASCON 544,HOLY TRINITY COLLEGE,MARDEL PLATA BUENOS AIRES,BUENOS AIRES,,7600,ARGENTINA,-38.0168075,-57.5320807
900450,GUIDO 800,SAINT GEORGES COLLEGE,1878 QUILMES,BUENOS AIRES,,,ARGENTINA,-34.7251873,-58.2433595
900230,AMENABAR 1840,ISLANDS INTERNATIONAL SCHOOL,,BUENOS AIRES,,1428,ARGENTINA,-34.5655872,-58.4565223
900300,ROMA 1210,NORTHLANDS SCHOOL,OLIVOS PROV DE BUENOS AIRES,BUENOS AIRES,,1636,ARGENTINA,-34.5055884,-58.4908894
900351,R S PENA 601,SAINT ANDREWS SCOTS SCHOOL,,OLIVOS B A,,1636,ARGENTINA,-34.5052658,-58.4832787
