id,Roster_Year,First_Name,Last_Name,Accolade,College
1,2006,Josh,Trott,First Team,College of the Holy Cross
2,2006,Jim,Taranto,First Team,Lehigh University
3,2006,Dan,Belke,First Team,Colgate University
4,2006,Joe,Verdi,First Team,Lehigh University
5,2006,Sal,Caccavale,First Team,American University
6,2006,Eli,Meyers,First Team,Colgate University
7,2006,Thomas,Harju,First Team,Lafayette College
8,2006,Adam,Gazda,First Team,Lehigh University
9,2006,John,O'Reilly,First Team,Lehigh University
10,2006,Addy,Strasdas,First Team,Naval Academy
11,2006,David,Cappuccio,First Team,Colgate University
12,2006,Scott,Hawkins,Second Team,Lafayette College
13,2006,McKenzie,Plank,Second Team,Naval Academy
14,2006,Andrew,Loia,Second Team,Bucknell University
15,2006,Luke,Sullivan,Second Team,Lafayette College
16,2006,Phil,Purdy,Second Team,American University
17,2006,John,Borland,Second Team,Army West Point
18,2006,Corey,Curnutte,Second Team,Bucknell University
19,2006,Alex,Cruz,Second Team,College of the Holy Cross
20,2006,Anthony,Sepe,Second Team,Lafayette College
21,2006,Daniel,Newell,Second Team,Army West Point
22,2006,Jim,Morahan,Second Team,Lehigh University
23,2007,Eric,Anton,First Team,Colgate University
24,2007,Kyle,Evans,First Team,Lehigh University
25,2007,Corey,Curnutte,First Team,Bucknell University
26,2007,Matt,Leach,First Team,Colgate University
27,2007,Andreas,Andrews,First Team,College of the Holy Cross
28,2007,Anthony,Sepe,First Team,Lafayette College
29,2007,Joe,Mellott,First Team,Bucknell University
30,2007,Dan,Belke,First Team,Colgate University
31,2007,Alejandro,Melean,First Team,College of the Holy Cross
32,2007,Luke,Sullivan,First Team,Lafayette College
33,2007,Joey,Kuterbach,First Team,Bucknell University
34,2007,Conor,O'Brien,Second Team,Bucknell University
35,2007,Scott,Hawkins,Second Team,Lafayette College
36,2007,Cameron,Petty,Second Team,American University
37,2007,Justin,Wolf,Second Team,Bucknell University
38,2007,Jesse,Schram,Second Team,Lehigh University
39,2007,Mike,Tilley,Second Team,Lafayette College
40,2007,Karsten,Smith,Second Team,American University
41,2007,Daniel,Newell,Second Team,Army West Point
