id,Roster_Year,Player_Number,First_Name,Last_Name,Year,Position1,Position2,Position3,Height,Weight,Home_Town,State_or_Country,High_School,Alternative_School,College,College_League,Bio_Link
901,2017,0,Erik,Hanson,Graduate,Goalkeeper,,,6'4,200,Mechanicsburg,PA,Brown University,Brown University,Duke University,ATLANTIC COAST,http://www.goduke.com/ViewArticle.dbml?ATCLID=211631993&DB_OEM_ID=4200&Q_SEASON=2017
939,2012,22,Andrew,Powell,Senior,Defender,,,6'1,175,Charlton,MA,Bucknell University,Bucknell University,Wake Forest University,ATLANTIC COAST,https://godeacs.com/roster.aspx?rp_id=2444
1135,2018,9,Daniele,Proch,Junior,Midfielder,,,5'7,150,Riva Del Garda,Italy,Catawba College,Catawba College,Duke University,ATLANTIC COAST,http://www.goduke.com/ViewArticle.dbml?ATCLID=211630682&DB_OEM_ID=4200&Q_SEASON=2018
1136,2017,9,Daniele,Proch,Sophomore,Midfielder,,,5'7,150,Riva Del Garda,Italy,Catawba College,Catawba College,Duke University,ATLANTIC COAST,http://www.goduke.com/ViewArticle.dbml?ATCLID=211630682&DB_OEM_ID=4200&Q_SEASON=2017
5784,2011,13,Ali,Famili,Freshman,Midfielder,Back,,6'0,,Orefield,PA,Parkland High School,Parkland High School,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=1650
5785,2018,2,Heidar,Aegisson,Junior,Midfielder,Back,,5'9,160,Gardabaer,Iceland,FC Stjarnan (ICE),FC Stjarnan (ICE),Boston College,ATLANTIC COAST,https://bceagles.com/roster.aspx?rp_id=10314
5786,2018,23,Joshua,Forbes,Senior,Midfielder,Back,,5'9,163,Bochum,Germany,VFL Bochum,VFL Bochum,Boston College,ATLANTIC COAST,https://bceagles.com/roster.aspx?rp_id=10320
5787,2018,16,Tyshawn,Rose,Freshman,Midfielder,Back,,6'0,155,East Hartford,CT,FSA,FSA,Boston College,ATLANTIC COAST,https://bceagles.com/roster.aspx?rp_id=10339
5788,2018,24,Ian,Buehler,Sophomore,Midfielder,Back,,6'1,185,Mill Valley,CA,Marin FC,Marin FC,Boston College,ATLANTIC COAST,https://bceagles.com/roster.aspx?rp_id=10342
5789,2017,2,Heidar,Aegisson,Sophomore,Midfielder,Back,,5'9,160,Gardabaer,Iceland,FC Stjarnan (ICE),FC Stjarnan (ICE),Boston College,ATLANTIC COAST,https://bceagles.com/roster.aspx?rp_id=9597
