city,institution,stateorprovince,country,LATITUDE,LONGITUDE,school_type
,Arkansas School for Mathematics,AR,USA,34.5181075,-93.058034,BOARDING
,Louisiana School for Math,LA,USA,31.7527789,-93.0959125,BOARDING
,Saint Andrew's School,FL,USA,26.384682,-80.1471075,BOARDING
,Academy at Swift River,MA,USA,42.4831652,-72.8845052,BOARDING
,Academy for Global Exploration,OR,USA,42.1945804,-122.7182955,BOARDING
,Academy of the Holy Family,CT,USA,41.6156804,-72.0879238,BOARDING
,Academy of the Sacred Heart,MO,USA,38.7866299,-90.4817194,BOARDING
,Admiral Farragut Academy,FL,USA,27.7785518,-82.7448558,BOARDING
,Alabama School of Fine Arts,AL,USA,33.5211129,-86.8129333,BOARDING
,Alabama School of Math and Science,AL,USA,30.686614,-88.0654043,BOARDING
,American Hebrew Academy,NC,USA,36.1085359,-79.8706066,BOARDING
,Andrews Osborne Academy,OH,USA,41.6413384,-81.3969591,BOARDING
,Annie Wright School,WA,USA,47.268669,-122.459469,BOARDING
,Appalachian Children's Home,KY,USA,36.8699989,-83.8478698,BOARDING
,Armand Hammer United World College of the American West,NM,USA,35.6559717,-105.2812825,BOARDING
,Army and Navy Academy,CA,USA,33.1628677,-117.3547687,BOARDING
,Asheville School,NC,USA,35.5702173,-82.6199942,BOARDING
,Auburn Adventist Academy,WA,USA,47.2816569,-122.1623763,BOARDING
,Avon Old Farms School,CT,USA,41.7764358,-72.8380126,BOARDING
,Bachman Academy,TN,USA,35.131133,-84.948155,BOARDING
,Bard Academy at Simon's Rock,MA,USA,42.207976,-73.378238,BOARDING
,Baylor School,TN,USA,35.0862658,-85.3373862,BOARDING
,Berkshire School,MA,USA,42.1170873,-73.4162715,BOARDING
,Besant Hill School of Happy Valley,CA,USA,34.4391585,-119.1866847,BOARDING
,Blair Academy,NJ,USA,40.9860162,-74.9637557,BOARDING
,Blue Ridge School,VA,USA,38.2652747,-78.5555243,BOARDING
,Bolles School,FL,USA,30.2407638,-81.6277632,BOARDING
,Brandon Hall School,GA,USA,33.9854469,-84.2985763,BOARDING
