first_name,last_name,home_town,state_or_country,high_school,alternative_school,college,college_league,Public/Private/International,starter_count,accolade_count,latitude,longitude,roster_year,year,player_number,position,height,weight,bio_link
Aaron,Dennis,Elmont,NY,Elmont Memorial High School,,Villanova University,BIG EAST,PUBLIC,4,0,40.69674,-73.718369,"{2014,2011,2013,2012}","{Senior,Freshman,Junior,Sophomore}","{9,10,10,10}","{Forward,Forward,Forward,Forward}","{6'2,6'2,6'2,6'2}","{175,175,175,175}","{https://villanova.com/roster.aspx?rp_id=2467,https://villanova.com/roster.aspx?rp_id=2545,https://villanova.com/roster.aspx?rp_id=2492,https://villanova.com/roster.aspx?rp_id=2519}"
Aaron,Gaide,Avon,CT,Avon High School,,Dartmouth College,IVY,PUBLIC,5,0,41.783533,-72.862227,"{2009,2007,2008,2011,2010}","{Junior,Freshman,Sophomore,Redshirt,Senior}","{4,4,4,7,4}","{Midfielder,Midfielder,Midfielder,Midfielder,Midfielder}","{5'10,5'10,5'10,5'10,5'10}","{155,NULL,NULL,155,155}","{https://dartmouthsports.com/roster.aspx?rp_id=6427,https://dartmouthsports.com/roster.aspx?rp_id=4250,https://dartmouthsports.com/roster.aspx?rp_id=5186,https://dartmouthsports.com/roster.aspx?rp_id=7905,https://dartmouthsports.com/roster.aspx?rp_id=7175}"
Aaron,Schwartz,Berwyn,PA,YSC Academy,,Dartmouth College,IVY,PRIVATE,0,0,40.07583,-75.405881,"{2018,2017}","{Sophomore,Freshman}","{25,25}","{Goalkeeper,Goalkeeper}","{5'10,5'10}","{145,145}","{https://dartmouthsports.com/roster.aspx?rp_id=15779,https://dartmouthsports.com/roster.aspx?rp_id=11258}"
Adam,Gostomelsky,Carmel,IN,Carmel High School,,Northeastern University,COLONIAL ATHLETIC ASSOCIATION,PUBLIC,1,0,39.979671,-86.119945,"{2017,2018}","{Freshman,Sophomore}","{30,0}","{Goalkeeper,Goalkeeper}","{6'0,6'0}","{185,185}","{https://nuhuskies.com/roster.aspx?rp_id=4840,https://nuhuskies.com/roster.aspx?rp_id=5166}"
Adam,Mosharrafa,Paradise Valley,AZ,Brophy College Preparatory,,Stanford University,PAC-12,PRIVATE,4,0,33.50469,-112.071421,"{2015,2016,2017,2014,2018}","{Freshman,Sophomore,Junior,Freshman,Senior}","{26,16,6,26,6}","{Defender,Defender,Defender,Defender,Defender}","{6'2,6'2,6'2,6'2,6'2}","{160,160,160,160,175}","{https://gostanford.com/roster.aspx?rp_id=7023,https://gostanford.com/roster.aspx?rp_id=7051,https://gostanford.com/roster.aspx?rp_id=11635,https://gostanford.com/roster.aspx?rp_id=6921,https://gostanford.com/roster.aspx?rp_id=14114}"
Adam,Santoro,Egg Harbor Township,NJ,Egg Harbor Township High School,,Villanova University,BIG EAST,PUBLIC,0,0,39.394926,-74.628375,"{2011,2012}","{Sophomore,Sophomore}","{18,18}","{Midfielder,Midfielder}","{6'1,6'1}","{198,198}","{https://villanova.com/roster.aspx?rp_id=2558,https://villanova.com/roster.aspx?rp_id=2530}"
Adedeji,(DJ) Palmer,Manahawkin,NJ,Peddie School,,Yale University,IVY,PRIVATE,0,0,40.267309,-74.524489,{2018},{Sophomore},{8},{Forward},{5'10},{175},{http://www.yalebulldogs.com/sports/m-soccer/2018-19/bios/schipper_kees_3gr4}
Adrian,Alabi,Snellville,GA,Brookwood High School,,Stanford University,PAC-12,PUBLIC,2,0,33.883679,-84.039986,"{2012,2016,2014,2015,2013}","{Freshman,Senior,Sophomore,Junior,Freshman}","{27,17,24,24,27}","{Forward,Forward,Goalkeeper,Forward,Goalkeeper}","{5'11,5'11,5'11,5'11,5'11}","{160,173,160,173,160}","{https://gostanford.com/roster.aspx?rp_id=6591,https://gostanford.com/roster.aspx?rp_id=7031,https://gostanford.com/roster.aspx?rp_id=6890,https://gostanford.com/roster.aspx?rp_id=7006,https://gostanford.com/roster.aspx?rp_id=6715}"
Aedan,Stanley,Columbia,IL,Columbia High School,,Duke University,ATLANTIC COAST,PUBLIC,1,0,38.446867,-90.216035,{2018},{Freshman},{5},{Defender},{5'11},{175},{http://www.goduke.com/ViewArticle.dbml?ATCLID=211719252&DB_OEM_ID=4200&Q_SEASON=2018}
Agyeman,Botchway,Dacula,GA,Marist School,,University of Pennsylvania,IVY,PRIVATE,1,0,33.900768,-84.334583,{2011},{Freshman},{16},{Midfielder},{6'3},{NULL},{https://pennathletics.com/roster.aspx?rp_id=2203}
