roster_year,player_number,first_name,last_name,year,position1,height,weight,home_town,state_or_country,high_school,alternative_school,college,college_league,bio_link,is_starter,accolade
2015,20,A.,Mickey Watson,Freshman,Back,5'10,180,Berwyn,PA,South Kent School,,Loyola University Maryland,PATRIOT,https://loyolagreyhounds.com/roster.aspx?rp_id=2192,Y,
2016,20,A.,Mickey Watson,Sophomore,Defender,5'10,180,Berwyn,PA,South Kent School,,Loyola University Maryland,PATRIOT,https://loyolagreyhounds.com/roster.aspx?rp_id=2172,Y,
2017,5,A.,Mickey Watson,Junior,Defender,5'10,180,Berwyn,PA,South Kent School,,Loyola University Maryland,PATRIOT,https://loyolagreyhounds.com/roster.aspx?rp_id=2133,Y,First Team
2018,5,A.,Mickey Watson,Senior,Defender,5'10,180,Berwyn,PA,South Kent School,,Loyola University Maryland,PATRIOT,https://loyolagreyhounds.com/roster.aspx?rp_id=6416,N,
2010,24,Aaron,Baldwin,Freshman,Midfielder,5'10,165,Takoma Park,MD,Montgomery Blair,,College of William & Mary,COLONIAL ATHLETIC ASSOCIATION,https://tribeathletics.com/roster.aspx?rp_id=5402&path=msoc,,
2011,19,Aaron,Baldwin,Sophomore,Midfielder,5'10,175,Takoma Park,MD,Montgomery Blair,,College of William & Mary,COLONIAL ATHLETIC ASSOCIATION,https://tribeathletics.com/roster.aspx?rp_id=3885&path=msoc,,
2012,19,Aaron,Baldwin,Junior,Midfielder,5'10,175,Takoma Park,MD,Montgomery Blair,,College of William & Mary,COLONIAL ATHLETIC ASSOCIATION,https://tribeathletics.com/roster.aspx?rp_id=2004&path=msoc,,
2013,19,Aaron,Baldwin,Junior,Midfielder,5'10,175,Takoma Park,MD,Montgomery Blair,,College of William & Mary,COLONIAL ATHLETIC ASSOCIATION,https://tribeathletics.com/roster.aspx?rp_id=3190&path=msoc,N,
2014,19,Aaron,Baldwin,Senior,Midfielder,5'10,175,Takoma Park,MD,Montgomery Blair,,College of William & Mary,COLONIAL ATHLETIC ASSOCIATION,https://tribeathletics.com/roster.aspx?rp_id=1101&path=msoc,N,
2012,22,Aaron,Chen,Freshman,Back,6'1,170,Mansfield,CT,Edwin O. Smith High School,,University of Pennsylvania,IVY,https://pennathletics.com/roster.aspx?rp_id=2249,N,
2013,22,Aaron,Chen,Sophomore,Back,6'1,170,Mansfield,CT,Edwin O. Smith High School,,University of Pennsylvania,IVY,https://pennathletics.com/roster.aspx?rp_id=2294,N,
2014,22,Aaron,Chen,Junior,Back,6'1,170,Mansfield,CT,Edwin O. Smith High School,,University of Pennsylvania,IVY,https://pennathletics.com/roster.aspx?rp_id=2270,N,
2015,22,Aaron,Chen,Senior,Back,6'1,170,Mansfield,CT,Edwin O. Smith High School,,University of Pennsylvania,IVY,https://pennathletics.com/roster.aspx?rp_id=4283,Y,
2011,10,Aaron,Dennis,Freshman,Forward,6'2,175,Elmont,NY,Elmont Memorial High School,,Villanova University,BIG EAST,https://villanova.com/roster.aspx?rp_id=2545,Y,
2012,10,Aaron,Dennis,Sophomore,Forward,6'2,175,Elmont,NY,Elmont Memorial High School,,Villanova University,BIG EAST,https://villanova.com/roster.aspx?rp_id=2519,Y,
2013,10,Aaron,Dennis,Junior,Forward,6'2,175,Elmont,NY,Elmont Memorial High School,,Villanova University,BIG EAST,https://villanova.com/roster.aspx?rp_id=2492,Y,
2014,9,Aaron,Dennis,Senior,Forward,6'2,175,Elmont,NY,Elmont Memorial High School,,Villanova University,BIG EAST,https://villanova.com/roster.aspx?rp_id=2467,Y,
2010,29,Aaron,Dupere,Freshman,Goalkeeper,5'11,175,Royal Palm Beach,FL,Wellington,,Naval Academy,PATRIOT,https://navysports.com/roster.aspx?rp_id=5474,Y,
2011,29,Aaron,Dupere,Sophomore,Goalkeeper,5'11,180,Royal Palm Beach,FL,Wellington,,Naval Academy,PATRIOT,https://navysports.com/roster.aspx?rp_id=5448,Y,
2012,0,Aaron,Dupere,Junior,Goalkeeper,5'11,180,Royal Palm Beach,FL,Wellington,,Naval Academy,PATRIOT,https://navysports.com/roster.aspx?rp_id=5394,N,
2013,1,Aaron,Dupere,Senior,Goalkeeper,5'10,175,Royal Palm Beach,FL,Wellington,,Naval Academy,PATRIOT,https://navysports.com/roster.aspx?rp_id=5367,N,
2006,15,Aaron,Eshkenazi,Freshman,Defender,6'2,190,Coral Springs,FL,Douglas High School,,Air Force Academy,WAC,https://goairforcefalcons.com/roster.aspx?rp_id=3611,,
2008,15,Aaron,Eshkenazi,Junior,Defender,6'3,195,Coral Springs,FL,Douglas High School,,Air Force Academy,WAC,https://goairforcefalcons.com/roster.aspx?rp_id=3598,,
2009,15,Aaron,Eshkenazi,Senior,Defender,6'3,195,Coral Springs,FL,Douglas High School,,Air Force Academy,WAC,https://goairforcefalcons.com/roster.aspx?rp_id=3575,,
2007,4,Aaron,Gaide,Freshman,Midfielder,5'10,,Avon,CT,Avon High School,,Dartmouth College,IVY,https://dartmouthsports.com/roster.aspx?rp_id=4250,N,
2008,4,Aaron,Gaide,Sophomore,Midfielder,5'10,,Avon,CT,Avon High School,,Dartmouth College,IVY,https://dartmouthsports.com/roster.aspx?rp_id=5186,Y,
2009,4,Aaron,Gaide,Junior,Midfielder,5'10,155,Avon,CT,Avon High School,,Dartmouth College,IVY,https://dartmouthsports.com/roster.aspx?rp_id=6427,N,
2010,4,Aaron,Gaide,Senior,Midfielder,5'10,155,Avon,CT,Avon High School,,Dartmouth College,IVY,https://dartmouthsports.com/roster.aspx?rp_id=7175,Y,
