Roster_Year,Number,First_Name,Last_Name,Potential_Starts,GP,GS,Is_Starter,College
2017,15,Alex,Grave de Peralta,17,17,8,N,Army West Point
2017,33,Antonio,Chavez Borrelli,17,17,14,Y,Boston College
2017,5,A.,Mickey Watson,18,15,15,Y,Loyola University Maryland
2018,15,Alex,Grave de Peralta,20,20,15,Y,Army West Point
2018,33,Antonio,Chavez Borrelli,16,14,13,Y,Boston College
2016,15,A.,Terceros-Downey,18,4,1,N,College of the Holy Cross
2015,20,A.,Mickey Watson,17,12,11,Y,Loyola University Maryland
2016,20,A.,Mickey Watson,18,15,13,Y,Loyola University Maryland
2018,5,A.,Mickey Watson,17,3,3,N,Loyola University Maryland
2014,18,A.J.,Esparza,18,18,18,Y,Air Force Academy
2016,18,A.J.,Esparza,22,22,17,Y,Air Force Academy
2007,0,A.J.,Glubzinski,18,14,7,N,Army West Point
2008,0,A.J.,Glubzinski,17,14,13,Y,Army West Point
2013,8,A.j.,Agha,17,9,3,N,Harvard University
2014,8,A.j.,Agha,17,9,3,N,Harvard University
2016,10,A.J.,Jeffries,16,12,2,N,SMU
2017,11,Aaron,Uribe,20,12,0,N,Air Force Academy
2007,16,Aaron,O'Neal,20,20,14,Y,Boston University
2008,16,Aaron,O'Neal,21,21,20,Y,Boston University
2008,19,Aaron,Rosenberg,21,1,0,N,Boston University
2009,16,Aaron,O'Neal,18,18,17,Y,Boston University
2010,9,Aaron,O'Neal,17,16,16,Y,Boston University
2012,24,Aaron,Mentos,19,2,0,N,Colgate University
2011,4,Aaron,Oder,16,1,0,N,Cornell University
2007,4,Aaron,Gaide,18,11,2,N,Dartmouth College
2008,4,Aaron,Gaide,19,19,18,Y,Dartmouth College
2009,4,Aaron,Gaide,18,3,1,N,Dartmouth College
2010,4,Aaron,Gaide,20,20,15,Y,Dartmouth College
2011,7,Aaron,Gaide,18,17,17,Y,Dartmouth College
2006,22,Aaron,Vaslow,20,3,0,N,Lehigh University
2007,3,Aaron,Gildner,17,16,9,Y,Lehigh University
2007,22,Aaron,Vaslow,17,5,0,N,Lehigh University
2010,29,Aaron,Dupere,16,16,16,Y,Naval Academy
2011,29,Aaron,Dupere,19,15,14,Y,Naval Academy
2012,0,Aaron,Dupere,17,3,1,N,Naval Academy
2013,1,Aaron,Dupere,22,7,7,N,Naval Academy
2006,16,Aaron,Bonser,16,16,13,Y,Syracuse University
2007,16,Aaron,Bonser,18,18,18,Y,Syracuse University
2008,2,Aaron,Maund,21,21,21,Y,University of Notre Dame
2009,2,Aaron,Maund,23,18,18,Y,University of Notre Dame
2010,2,Aaron,Maund,20,20,20,Y,University of Notre Dame
2011,2,Aaron,Maund,18,18,18,Y,University of Notre Dame
2010,6,Aaron,Ross,19,15,10,Y,University of Pennsylvania
2012,22,Aaron,Chen,16,1,0,N,University of Pennsylvania
2013,22,Aaron,Chen,18,5,2,N,University of Pennsylvania
2014,22,Aaron,Chen,17,8,4,N,University of Pennsylvania
2015,22,Aaron,Chen,16,14,8,Y,University of Pennsylvania
2011,10,Aaron,Dennis,21,21,21,Y,Villanova University
2012,10,Aaron,Dennis,20,17,17,Y,Villanova University
2013,10,Aaron,Dennis,18,18,15,Y,Villanova University
2014,9,Aaron,Dennis,19,16,16,Y,Villanova University
2013,19,Aaron,Baldwin,19,4,0,N,College of William & Mary
2014,19,Aaron,Baldwin,18,9,0,N,College of William & Mary
2018,11,Aaron,Uribe,22,22,0,N,Air Force Academy
2015,9,Abdel,Sanogo,19,14,0,N,Colgate University
2016,9,Abdel,Sanogo,22,14,0,N,Colgate University
2017,9,Abdel,Sanogo,24,24,1,N,Colgate University
2018,9,Abdel,Sanogo,23,16,1,N,Colgate University
2015,14,Abe,Bibas,21,21,18,Y,Boston College
2016,14,Abe,Bibas,21,18,14,Y,Boston College
2017,14,Abe,Bibas,17,15,7,N,Boston College
2018,14,Abe,Bibas,16,15,15,Y,Boston College
2016,10,Abinadi,Samayoa,22,10,4,N,Air Force Academy
2016,4,Achara,NA,17,8,5,N,Georgetown University
2017,20,Achara,NA,20,11,8,N,Georgetown University
2018,20,Achara,NA,21,21,21,Y,Georgetown University
2014,12,Ackim,Mpofu,20,19,14,Y,Northeastern University
2015,12,Ackim,Mpofu,17,14,12,Y,Northeastern University
2016,12,Ackim,Mpofu,17,16,14,Y,Northeastern University
2016,28,Adam,French,21,4,0,N,Boston College
2017,28,Adam,French,17,11,0,N,Boston College
2014,22,Adam,Sheikali,20,18,9,N,Boston University
2015,22,Adam,Sheikali,20,20,10,Y,Boston University
2015,18,Adam,Wright,20,15,13,Y,Boston University
2016,18,Adam,Wright,17,14,7,N,Boston University
2016,22,Adam,Sheikali,17,16,16,Y,Boston University
2017,22,Adam,Sheikali,19,19,18,Y,Boston University
2007,8,Adam,Costello,20,9,0,N,Colgate University
2008,8,Adam,Costello,21,17,4,N,Colgate University
2009,8,Adam,Costello,17,17,16,Y,Colgate University
2010,8,Adam,Costello,19,17,17,Y,Colgate University
2008,14,Adam,Rice,19,14,7,N,Dartmouth College
2009,14,Adam,Rice,18,16,9,Y,Dartmouth College
2010,14,Adam,Rice,20,16,11,Y,Dartmouth College
2011,14,Adam,Rice,18,16,9,Y,Dartmouth College
2006,15,Adam,Rousmaniere,19,15,0,N,Harvard University
2006,1,Adam,Hahn,19,19,19,Y,Harvard University
2007,8,Adam,Rousmaniere,18,14,2,N,Harvard University
2007,1,Adam,Hahn,18,18,18,Y,Harvard University
2008,8,Adam,Rousmaniere,18,18,13,Y,Harvard University
2009,8,Adam,Rousmaniere,19,19,19,Y,Harvard University
2008,2,Adam,Allers,19,14,8,N,Lafayette College
2009,2,Adam,Allers,19,16,8,N,Lafayette College
2016,26,Adam,Bramson,18,18,18,Y,Lafayette College
2017,26,Adam,Bramson,18,14,13,Y,Lafayette College
2006,6,Adam,Gazda,20,20,20,Y,Lehigh University
2006,7,Adam,Welch,20,19,19,Y,Lehigh University
2007,7,Adam,Welch,17,17,17,Y,Lehigh University
2008,6,Adam,Gazda,17,17,17,Y,Lehigh University
2008,7,Adam,Welch,17,17,17,Y,Lehigh University
2009,7,Adam,Welch,18,18,18,Y,Lehigh University
2009,6,Adam,Gazda,18,18,18,Y,Lehigh University
2006,12,Adam,Pennington,16,2,1,N,Naval Academy
2007,12,Adam,Pennington,17,15,12,Y,Naval Academy
2008,12,Adam,Pennington,18,18,18,Y,Naval Academy
2016,18,Adam,Gibbs,17,4,1,N,Northeastern University
2015,26,Adam,Mosharrafa,23,18,1,N,Stanford University
2016,16,Adam,Mosharrafa,23,23,22,Y,Stanford University
2017,6,Adam,Mosharrafa,23,23,23,Y,Stanford University
2009,14,Adam,Mena,23,16,0,N,University of Notre Dame
2010,19,Adam,Mena,20,20,1,N,University of Notre Dame
2011,11,Adam,Mena,18,18,10,Y,University of Notre Dame
2012,11,Adam,Mena,22,1,1,N,University of Notre Dame
2012,0,Adam,LaPlaca,22,1,0,N,University of Notre Dame
2006,5,Adam,Brazitis,17,17,17,Y,Villanova University
2006,17,Adam,Terreri,17,4,0,N,Villanova University
2007,5,Adam,Brazitis,20,20,17,Y,Villanova University
2007,15,Adam,Amann,20,3,0,N,Villanova University
2008,5,Adam,Brazitis,19,19,19,Y,Villanova University
2008,15,Adam,Amann,19,1,0,N,Villanova University
2009,15,Adam,Amann,19,18,9,N,Villanova University
2014,21,Adam,Crenshaw,18,17,13,Y,College of William & Mary
2015,21,Adam,Crenshaw,17,12,0,N,College of William & Mary
2018,26,Adam,Bramson,17,15,4,N,Lafayette College
2018,12,Adam,Kulick,17,7,0,N,Bucknell University
2018,18,Adam,Wright,19,9,5,N,Boston University
2018,6,Adam,Mosharrafa,21,21,21,Y,Stanford University
2018,0,Adam,Gostomelsky,16,1,1,N,Northeastern University
2017,8,Adama,Kaba,18,16,12,Y,Northeastern University
2018,8,Adama,Kaba,16,16,16,Y,Northeastern University
2006,7,Addy,Strasdas,16,16,16,Y,Naval Academy
2009,14,Ade,Akinsanya,18,18,18,Y,Boston University
2010,14,Ade,Akinsanya,17,15,6,N,Boston University
2018,8,Ade,Akinjogbin,17,17,14,Y,Wofford College
2009,22,Adem,Gokturk,19,3,1,N,American University
2010,5,Adem,Gokturk,19,11,10,Y,American University
2011,5,Adem,Gokturk,21,21,21,Y,American University
2009,15,Aden,Farina-Henry,17,16,7,N,Yale University
2011,24,Aden,Farina-Henry,17,13,1,N,Yale University
2010,24,Adetomiwa,Adewole,19,2,0,N,Villanova University
2011,24,Adetomiwa,Adewole,21,9,0,N,Villanova University
2012,24,Adetomiwa,Adewole,20,4,0,N,Villanova University
2013,24,Adetomiwa,Adewole,18,14,3,N,Villanova University
2015,11,Adnan,Bakalovic,25,3,0,N,Syracuse University
2016,11,Adnan,Bakalovic,20,9,1,N,Syracuse University
2017,11,Adnan,Bakalovic,18,17,6,N,Syracuse University
2013,7,Ado,Kawuba,18,7,5,N,Boston College
2014,7,Ado,Kawuba,16,10,7,N,Boston College
2015,7,Ado,Kawuba,21,8,1,N,Boston College
2016,7,Ado,Kawuba,21,6,0,N,Boston College
2012,16,Adrian,McInnis,19,10,9,N,Furman University
2013,16,Adrian,McInnis,18,11,11,Y,Furman University
2014,16,Adrian,McInnis,22,21,20,Y,Furman University
2015,16,Adrian,McInnis,19,16,16,Y,Furman University
2015,24,Adrian,Alabi,23,15,0,N,Stanford University
2016,17,Adrian,Alabi,23,21,1,N,Stanford University
2015,13,Adrian,Thompson,18,7,0,N,Wofford College
2016,13,Adrian,Thompson,19,3,0,N,Wofford College
2017,13,Adrian,Thompson,19,15,8,N,Wofford College
2010,23,Adrian,Wright,17,2,0,N,Yale University
2018,5,Aedan,Stanley,20,20,20,Y,Duke University
2011,16,Agyeman,Botchway,17,13,0,N,University of Pennsylvania
2006,9,Ahmed,Talaat,20,20,19,Y,Northeastern University
2007,9,Ahmed,Talaat,19,19,19,Y,Northeastern University
2018,9,Ahria,Simons,17,6,0,N,Dartmouth College
2017,9,Aidan,Peterson,17,8,8,N,Davidson College
2015,12,Aidan,Passannante,18,16,5,N,Lafayette College
2018,8,Aidan,Peterson,18,13,2,N,Davidson College
2018,15,Aiden,McFadden,21,21,11,Y,University of Notre Dame
2015,29,Aigbekan,Nosegbe,19,5,2,N,Furman University
2016,29,Aigbekan,Nosegbe,18,17,4,N,Furman University
2017,29,Aigbekan,Nosegbe,20,15,3,N,Furman University
2018,25,Aiman,Ginawi,16,12,1,N,Northeastern University
2017,25,AJ,Yerkes,17,2,0,N,Army West Point
2010,20,AJ,Stueck,17,2,0,N,Northeastern University
2011,20,AJ,Stueck,19,6,0,N,Northeastern University
2014,24,AJ,Swoboda,17,1,0,N,Princeton University
2018,2,Akean,Shackleford,18,17,9,Y,SMU
2007,14,Alan,Koger,21,21,18,Y,College of William & Mary
2008,14,Alan,Koger,21,21,6,N,College of William & Mary
2009,14,Alan,Koger,19,19,18,Y,College of William & Mary
2010,5,Alan,Koger,22,22,21,Y,College of William & Mary
2011,3,Alan,Gore,19,8,0,N,Wofford College
2012,3,Alan,Gore,21,2,0,N,Wofford College
2013,3,Alan,Gore,19,8,0,N,Wofford College
2010,24,Alassane,Kane,19,18,17,Y,American University
2011,9,Alassane,Kane,21,20,18,Y,American University
2012,9,Alassane,Kane,19,18,15,Y,American University
2012,17,Alberto,Gorini,16,11,6,N,Dartmouth College
2013,17,Alberto,Gorini,17,10,7,N,Dartmouth College
2014,17,Alberto,Gorini,19,9,3,N,Dartmouth College
2015,17,Alberto,Gorini,19,13,7,N,Dartmouth College
2018,6,Alberto,Catenacci,21,8,3,N,Wake Forest University
2017,17,Aldo,Ruiz,18,13,1,N,Loyola University Maryland
2017,18,Aldo,Quevedo,16,15,7,N,Yale University
2018,18,Aldo,Quevedo,16,15,8,Y,Yale University
2018,17,Aldo,Ruiz,17,2,0,N,Loyola University Maryland
2007,17,Ale,Frischeisen,18,17,17,Y,Dartmouth College
2017,20,Alec,Belcastro,17,8,0,N,Army West Point
2008,0,Alec,Kann,20,11,10,Y,Furman University
2009,0,Alec,Kann,18,12,12,Y,Furman University
2010,1,Alec,Kann,21,21,21,Y,Furman University
2011,1,Alec,Kann,22,22,22,Y,Furman University
2010,23,Alec,Golini,18,2,2,N,Lafayette College
2011,23,Alec,Golini,18,18,11,Y,Lafayette College
2012,5,Alec,Golini,21,20,19,Y,Lafayette College
2013,5,Alec,Golini,18,18,14,Y,Lafayette College
2014,5,Alec,Golini,18,14,11,Y,Lafayette College
2007,13,Alec,McLean,19,9,0,N,Northeastern University
2008,13,Alec,McLean,21,2,0,N,Northeastern University
2010,3,Alec,McLean,17,5,0,N,Northeastern University
2017,11,Alec,Supinski,18,15,10,Y,Northeastern University
2013,26,Alec,Neumann,18,18,14,Y,University of Pennsylvania
2014,9,Alec,Neumann,17,17,16,Y,University of Pennsylvania
2015,9,Alec,Neumann,16,16,14,Y,University of Pennsylvania
2016,9,Alec,Neumann,17,16,16,Y,University of Pennsylvania
2009,4,Alec,Weiss,19,1,0,N,Villanova University
2010,4,Alec,Weiss,19,14,1,N,Villanova University
2011,4,Alec,Weiss,21,15,3,N,Villanova University
2012,4,Alec,Weiss,20,19,4,N,Villanova University
2018,11,Alec,Supinski,16,15,0,N,Northeastern University
2018,14,Alec,Young,22,5,0,N,Air Force Academy
2006,9,Alejandro,Melean,17,17,17,Y,College of the Holy Cross
2007,6,Alejandro,Melean,18,18,18,Y,College of the Holy Cross
2008,6,Alejandro,Melean,19,19,19,Y,College of the Holy Cross
2014,5,Alex,Frazier,18,17,1,N,Air Force Academy
2008,24,Alex,Tilatti,19,18,11,Y,American University
2009,24,Alex,Tilatti,19,9,3,N,American University
2009,28,Alex,Almodovar,19,1,0,N,American University
2010,3,Alex,Tilatti,19,19,18,Y,American University
2011,3,Alex,Tilatti,21,20,20,Y,American University
2010,11,Alex,Pfister,17,7,5,N,Army West Point
2011,11,Alex,Pfister,18,5,3,N,Army West Point
2012,11,Alex,Pfister,17,3,0,N,Army West Point
2013,8,Alex,Jaroscak,18,17,6,N,Army West Point
2013,26,Alex,Clark,18,8,4,N,Army West Point
2014,8,Alex,Jaroscak,20,20,8,N,Army West Point
2014,26,Alex,Clark,20,17,13,Y,Army West Point
2015,8,Alex,Jaroscak,18,18,13,Y,Army West Point
2015,26,Alex,Clark,18,15,10,Y,Army West Point
2016,8,Alex,Jaroscak,19,18,17,Y,Army West Point
2016,15,Alex,Grave de Peralta,19,19,1,N,Army West Point
2017,16,Alex,Field,17,1,0,N,Army West Point
2013,1,Alex,Kapp,18,11,11,Y,Boston College
2014,1,Alex,Kapp,16,15,15,Y,Boston College
2015,1,Alex,Kapp,21,11,10,N,Boston College
2011,3,Alex,Markes,3,3,3,Y,Brown University
2011,29,Alex,Carr,3,3,3,Y,Brown University
2012,3,Alex,Markes,19,19,19,Y,Brown University
2013,3,Alex,Markes,17,13,12,Y,Brown University
2014,3,Alex,Markes,17,13,11,Y,Brown University
2006,22,Alex,Weekes,17,16,0,N,Colgate University
2006,9,Alex,Gardner,17,8,0,N,Colgate University
2007,22,Alex,Weekes,20,20,12,Y,Colgate University
2007,9,Alex,Gardner,20,14,1,N,Colgate University
2007,4,Alex,McClure,20,1,0,N,Colgate University
2008,10,Alex,Weekes,21,21,21,Y,Colgate University
2008,7,Alex,Gardner,21,8,0,N,Colgate University
2008,4,Alex,McClure,21,8,1,N,Colgate University
2009,10,Alex,Weekes,17,16,16,Y,Colgate University
2009,4,Alex,McClure,17,2,2,N,Colgate University
2011,20,Alex,Adelabu,18,15,6,N,Dartmouth College
2012,14,Alex,Adelabu,16,16,14,Y,Dartmouth College
2013,14,Alex,Adelabu,17,17,10,Y,Dartmouth College
2014,14,Alex,Adelabu,19,19,15,Y,Dartmouth College
2010,18,Alex,Sauciuc,20,13,0,N,Duke University
2011,4,Alex,Sauciuc,22,10,5,N,Duke University
2012,4,Alex,Sauciuc,18,10,0,N,Duke University
2013,1,Alex,Long,19,19,19,Y,Duke University
2013,0,Alex,Merrill,19,1,0,N,Duke University
2013,4,Alex,Sauciuc,19,12,6,N,Duke University
2009,20,Alex,Crooks,18,8,1,N,Furman University
2011,12,Alex,Crooks,22,22,17,Y,Furman University
2012,12,Alex,Crooks,19,17,1,N,Furman University
2006,5,Alex,Pangraze,17,13,5,N,Georgetown University
2006,3,Alex,Fairman,17,6,1,N,Georgetown University
2007,12,Alex,Verdi,19,11,9,N,Georgetown University
2007,5,Alex,Pangraze,19,14,11,Y,Georgetown University
2008,12,Alex,Verdi,19,19,19,Y,Georgetown University
2008,5,Alex,Pangraze,19,14,1,N,Georgetown University
2009,12,Alex,Verdi,19,19,19,Y,Georgetown University
2010,12,Alex,Verdi,20,9,6,N,Georgetown University
2013,9,Alex,Muyl,21,21,13,Y,Georgetown University
2014,9,Alex,Muyl,23,20,17,Y,Georgetown University
2015,9,Alex,Muyl,21,21,21,Y,Georgetown University
2007,22,Alex,Chi,18,17,13,Y,Harvard University
2008,9,Alex,Chi,18,18,15,Y,Harvard University
2009,9,Alex,Chi,19,19,18,Y,Harvard University
2010,10,Alex,Chi,17,17,16,Y,Harvard University
2013,25,Alex,Leondis,17,15,11,Y,Harvard University
2014,25,Alex,Leondis,17,15,11,Y,Harvard University
2015,5,Alex,Leondis,17,16,16,Y,Harvard University
2016,25,Alex,Leondis,15,7,7,N,Harvard University
2006,13,Alex,Cruz,17,17,16,Y,College of the Holy Cross
2007,13,Alex,Schweitzer,18,9,0,N,College of the Holy Cross
2006,20,Alex,Ruoff,17,2,0,N,Lafayette College
2006,24,Alex,Weisberger,20,3,0,N,Lehigh University
2007,12,Alex,Weisberger,17,7,1,N,Lehigh University
2008,12,Alex,Weisberger,17,16,0,N,Lehigh University
2009,12,Alex,Weisberger,18,17,0,N,Lehigh University
2015,28,Alex,Greene,22,20,11,Y,Lehigh University
2016,2,Alex,Greene,18,4,3,N,Lehigh University
2017,2,Alex,Greene,19,19,19,Y,Lehigh University
2009,14,Alex,Garcev,22,14,5,N,Loyola University Maryland
2010,11,Alex,Garcev,18,13,1,N,Loyola University Maryland
2010,27,Alex,Bullington,18,18,0,N,Loyola University Maryland
2011,20,Alex,Bullington,18,6,0,N,Loyola University Maryland
2015,13,Alex,Ponvert,17,16,6,N,Loyola University Maryland
2008,28,Alex,Foskett,18,6,0,N,Naval Academy
2009,19,Alex,Foskett,19,19,19,Y,Naval Academy
2010,11,Alex,Wilson,16,16,7,N,Naval Academy
2010,19,Alex,Foskett,16,16,16,Y,Naval Academy
2011,11,Alex,Wilson,19,18,18,Y,Naval Academy
2012,11,Alex,Wilson,17,16,11,Y,Naval Academy
2013,3,Alex,Evans,22,22,5,N,Naval Academy
2014,3,Alex,Evans,20,20,3,N,Naval Academy
2015,3,Alex,Evans,18,3,1,N,Naval Academy
2016,3,Alex,Evans,18,10,2,N,Naval Academy
2015,21,Alex,Reissmann,17,3,0,N,Northeastern University
2015,19,Alex,Ainscough,17,5,4,N,Northeastern University
2017,13,Alex,Koritsas,18,2,0,N,Northeastern University
2009,13,Alex,Male,20,8,0,N,Northwestern University
2011,16,Alex,Wettermann,17,10,8,N,Princeton University
2012,16,Alex,Wettermann,16,14,3,N,Princeton University
2014,18,Alex,Ainscough,19,5,0,N,Stanford University
2012,25,Alex,Bono,21,20,20,Y,Syracuse University
2013,7,Alex,Halis,18,18,17,Y,Syracuse University
2013,25,Alex,Bono,18,18,18,Y,Syracuse University
2014,7,Alex,Halis,21,20,5,N,Syracuse University
2014,25,Alex,Bono,21,21,21,Y,Syracuse University
2006,20,Alex,Yoshinaga,23,2,2,N,University of Notre Dame
2007,19,Alex,Yoshinaga,24,24,24,Y,University of Notre Dame
2008,19,Alex,Yoshinaga,21,21,21,Y,University of Notre Dame
2011,18,Alex,Priede,18,2,0,N,University of Notre Dame
2012,7,Alex,Priede,22,22,22,Y,University of Notre Dame
2013,7,Alex,Priede,24,8,4,N,University of Notre Dame
2010,9,Alex,Tuch,19,11,0,N,University of Pennsylvania
2010,21,Alex,Reddy,19,3,0,N,University of Pennsylvania
2011,21,Alex,Reddy,17,15,4,N,University of Pennsylvania
2011,9,Alex,Tuch,17,9,0,N,University of Pennsylvania
2012,6,Alex,Reddy,16,15,13,Y,University of Pennsylvania
2012,9,Alex,Murphy,16,13,0,N,University of Pennsylvania
2013,6,Alex,Reddy,18,18,9,Y,University of Pennsylvania
2013,9,Alex,Murphy,18,9,1,N,University of Pennsylvania
2017,16,Alex,Touche,3,1,0,N,University of Pennsylvania
2012,1,Alex,Harrington,18,5,5,N,College of William & Mary
2014,1,Alex,Harrington,18,2,1,N,College of William & Mary
2009,8,Alex,Hutchins,18,11,3,N,Wofford College
2011,8,Alex,Hutchins,19,19,19,Y,Wofford College
2012,8,Alex,Hutchins,21,21,21,Y,Wofford College
2014,27,Alex,Thompson,18,2,0,N,Wofford College
2015,27,Alex,Thompson,18,3,0,N,Wofford College
2016,27,Alex,Thompson,19,10,0,N,Wofford College
2018,14,Alex,Debayo-Doherty,16,14,4,N,Harvard University
2018,16,Alex,Field,20,10,0,N,Army West Point
2018,25,Alex,Clarke,17,17,12,Y,Bucknell University
2018,0,Alex,Sutton,17,16,16,Y,Lafayette College
2018,16,Alex,Touche,16,16,16,Y,University of Pennsylvania
2018,12,Alex,Charles,18,13,2,N,Princeton University
2018,0,Alex,Budnik,17,1,1,N,Dartmouth College
2009,30,Alexander,Aurrichio,17,17,17,Y,Colubmia University
2010,30,Alexander,Aurrichio,17,17,16,Y,Columbia University
2011,30,Alexander,Aurrichio,17,15,15,Y,Columbia University
2013,24,Alexander,Marsh,17,17,6,N,Dartmouth College
2014,24,Alexander,Marsh,19,9,4,N,Dartmouth College
2015,24,Alexander,Marsh,19,15,5,N,Dartmouth College
2016,24,Alexander,Marsh,19,19,16,Y,Dartmouth College
2012,0,Alexander,Leavy,21,4,4,N,Lafayette College
2014,1,Alexander,Leavy,18,14,14,Y,Lafayette College
2006,20,Alexander,Volk,20,19,17,Y,Northeastern University
2007,20,Alexander,Volk,19,16,15,Y,Northeastern University
2008,10,Alexander,Volk,21,20,20,Y,Northeastern University
2008,24,Alexander,Drummond,19,10,1,N,Wofford College
2014,3,Alfonso,Speed Jr.,18,10,5,N,College of William & Mary
2015,3,Alfonso,Speed Jr.,17,8,4,N,College of William & Mary
2016,3,Alfonso,Speed Jr.,21,10,8,N,College of William & Mary
2017,3,Alfonso,Speed Jr.,21,5,1,N,College of William & Mary
2018,19,Alfred,Perez,16,15,10,Y,Harvard University
2007,15,Alger,Frederick,18,6,1,N,American University
2008,15,Alger,Frederick,19,2,0,N,American University
2012,9,Ali,Sozeri,18,13,3,N,Boston University
2013,9,Ali,Sozeri,17,15,11,Y,Boston University
2011,13,Ali,Famili,18,18,18,Y,Lehigh University
2012,13,Ali,Famili,17,16,15,Y,Lehigh University
2013,13,Ali,Famili,17,15,15,Y,Lehigh University
2014,13,Ali,Famili,19,18,18,Y,Lehigh University
2017,9,Alistair,Person,18,4,0,N,Lafayette College
2018,9,Alistair,Person,17,3,0,N,Lafayette College
2018,8,Alistair,Johnston,21,21,0,N,Wake Forest University
2018,31,Allec,Willis,16,1,1,N,Yale University
2007,16,Allen,Padua,18,7,0,N,Harvard University
2015,2,Allen,Wang,17,10,6,N,Yale University
2018,12,Amado,Lozano,16,16,14,Y,University of Pennsylvania
2015,9,Amadu,Kunateh,19,18,12,Y,Dartmouth College
2016,9,Amadu,Kunateh,19,6,3,N,Dartmouth College
2017,9,Amadu,Kunateh,17,10,2,N,Dartmouth College
2008,25,Amadu,Ndiaye,20,4,0,N,Furman University
2010,4,Amadu,Ndiaye,21,17,11,Y,Furman University
2011,4,Amadu,Ndiaye,22,21,19,Y,Furman University
2012,4,Amadu,Ndiaye,19,17,16,Y,Furman University
2018,10,Amadu,Kunateh,17,8,0,N,Dartmouth College
2011,8,Ambry,Moss,19,19,19,Y,Northeastern University
2012,3,Ambry,Moss,21,21,21,Y,Northeastern University
2013,28,Ambry,Moss,18,18,18,Y,Northeastern University
2014,3,Ambry,Moss,20,18,18,Y,Northeastern University
2015,11,Amir,Bashti,23,21,1,N,Stanford University
2016,11,Amir,Bashti,23,23,4,N,Stanford University
2017,11,Amir,Bashti,23,23,6,N,Stanford University
2018,11,Amir,Bashti,21,21,20,Y,Stanford University
2013,20,Amit,Shumowitz,18,10,10,Y,Boston College
2016,17,An,Le,16,12,2,N,Yale University
2018,17,An,Le,16,9,2,N,Yale University
2016,24,Anderson,Andrade,17,1,0,N,Georgetown University
2011,28,Andoni,Georgiou,18,9,0,N,Dartmouth College
2012,7,Andoni,Georgiou,16,16,9,Y,Dartmouth College
2013,7,Andoni,Georgiou,17,9,6,N,Dartmouth College
2006,13,Andre,Akpan,19,19,19,Y,Harvard University
2007,10,Andre,Akpan,18,18,18,Y,Harvard University
2008,10,Andre,Akpan,18,18,18,Y,Harvard University
2009,10,Andre,Akpan,19,19,19,Y,Harvard University
2009,10,Andre,Ciliotta,19,17,16,Y,Northeastern University
2010,10,Andre,Ciliotta,17,15,7,N,Northeastern University
2011,10,Andre,Ciliotta,19,19,18,Y,Northeastern University
2012,10,Andre,Ciliotta,21,19,15,Y,Northeastern University
2017,1,Andrea,Seazzu,20,5,5,N,Air Force Academy
2018,1,Andrea,Seazzu,22,22,22,Y,Air Force Academy
2017,21,Andreas,Djurhuus,17,17,6,N,American University
2006,10,Andreas,Andrews,17,13,11,Y,College of the Holy Cross
2007,8,Andreas,Andrews,18,15,15,Y,College of the Holy Cross
2008,8,Andreas,Andrews,19,19,19,Y,College of the Holy Cross
2007,5,Andreas,Kustas,20,4,1,N,Lafayette College
2008,5,Andreas,Kustas,19,9,0,N,Lafayette College
2015,16,Andreas,Jenssen,25,19,4,N,Syracuse University
2014,17,Andreas,Bartosinski,19,19,18,Y,Villanova University
2015,17,Andreas,Bartosinkski,17,17,17,Y,Villanova University
2016,17,Andreas,Bartosinski,21,21,21,Y,Villanova University
2015,7,Andreas,Suri,18,11,0,N,Wofford College
2016,21,Andreas,Suri,19,18,9,N,Wofford College
2017,21,Andreas,Suri,19,16,0,N,Wofford College
2018,21,Andreas,Suri,17,11,3,N,Wofford College
2007,13,Andrej,Bjegovic,20,7,0,N,Boston University
2016,3,Andres,Camacho,21,8,5,N,Villanova University
2018,8,Andres,Chacon,17,4,0,N,College of the Holy Cross
2018,3,Andres,Camacho,17,16,5,N,Villanova University
2018,1,Andreu,Cases Mundet,21,20,20,Y,Wake Forest University
2007,7,Andrew,Batule,18,15,11,Y,Army West Point
2007,20,Andrew,Kydes,18,16,9,Y,Army West Point
2008,10,Andrew,Kydes,17,17,15,Y,Army West Point
2009,10,Andrew,Kydes,16,16,13,Y,Army West Point
2010,25,Andrew,Trahan,17,1,0,N,Army West Point
2006,15,Andrew,Bassi,19,2,0,N,Boston University
2008,15,Andrew,Bassi,21,2,0,N,Boston University
2017,30,Andrew,Hoang,19,1,0,N,Boston University
2010,4,Andrew,Mercier,19,1,0,N,Colgate University
2012,5,Andrew,Thompson,19,2,0,N,Colgate University
2007,9,Andrew,Olsen,18,18,13,Y,Dartmouth College
2008,7,Andrew,Olsen,19,19,18,Y,Dartmouth College
2009,7,Andrew,Olsen,18,16,13,Y,Dartmouth College
2010,7,Andrew,Olsen,20,20,19,Y,Dartmouth College
2007,25,Andrew,Antila,20,1,0,N,Duke University
